Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2018,CQUniversity,35.0,13.0,48.0,False,4275.0,legacy_xls_table8,2200,Central Queensland University,5781826,3404329.0,2377497.0,5781826.0
2018,Griffith University,286.0,,286.0,True,10204.0,legacy_xls_table8,3032,Griffith University,40451111,23169577.0,17281534.0,40451111.0
2018,James Cook University,103.0,,103.0,True,4655.0,legacy_xls_table8,1019,James Cook University,26876338,14428018.0,12448320.0,26876338.0
2018,Queensland University of Technology,322.0,115.0,437.0,False,11588.0,legacy_xls_table8,3042,Queensland University of Technology,53587469,30990812.0,22596657.0,53587469.0
2018,The University of Queensland,579.0,69.0,648.0,False,12982.0,legacy_xls_table8,3019,The University of Queensland,187021523,96436308.0,90585215.0,187021523.0
2018,University of Southern Queensland,79.0,,79.0,True,4003.0,legacy_xls_table8,2201,University of Southern Queensland,8576565,5294434.0,3282131.0,8576565.0
2018,University of the Sunshine Coast,57.0,14.0,71.0,False,3035.0,legacy_xls_table8,3043,University of the Sunshine Coast,5999194,2776828.0,3222366.0,5999194.0
2018,Curtin University,279.0,,279.0,True,9451.0,legacy_xls_table8,2236,Curtin University,45602889,25859194.0,19743695.0,45602889.0
2018,Edith Cowan University,78.0,,78.0,True,5774.0,legacy_xls_table8,2235,Edith Cowan University,11292118,7105273.0,4186845.0,11292118.0
2018,Murdoch University,100.0,,100.0,True,4852.0,legacy_xls_table8,1034,Murdoch University,17819166,9848575.0,7970591.0,17819166.0
2018,The University of Notre Dame Australia,31.0,,31.0,True,3075.0,legacy_xls_table8,3044,The University of Notre Dame Australia,1550538,829351.0,721187.0,1550538.0
2018,The University of Western Australia,287.0,51.0,338.0,False,6814.0,legacy_xls_table8,1055,The University of Western Australia,94471933,48456942.0,46014991.0,94471933.0
2018,Flinders University,176.0,8.0,184.0,False,5998.0,legacy_xls_table8,3029,Flinders University,27847944,15608881.0,12239063.0,27847944.0
