HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
1019,James Cook University,2019,QLD,IRU,125,5
3020,La Trobe University,2019,VIC,IRU,218,12
3025,Macquarie University,2019,NSW,non-aligned,287,274
3035,Monash University,2019,VIC,Go8,791,65
1034,Murdoch University,2019,WA,IRU,89,14
3042,Queensland University of Technology,2019,QLD,non-aligned,335,91
3034,Royal Melbourne Institute of Technology,2019,VIC,ATN,326,31
3038,Southern Cross University,2019,NSW,RUN,33,<5
2177,Swinburne University of Technology,2019,VIC,non-aligned,171,19
3033,The Australian National University,2019,ACT,Go8,371,33
3010,The University of Adelaide,2019,SA,Go8,330,72
3036,The University of Melbourne,2019,VIC,Go8,854,112
3044,The University of Notre Dame Australia,2019,WA,non-aligned,19,23
3019,The University of Queensland,2019,QLD,Go8,765,74
3040,The University of Sydney,2019,NSW,Go8,698,158
1055,The University of Western Australia,2019,WA,Go8,285,40
4449,Torrens University Australia,2019,SA,non-aligned,<5,0
2241,University of Canberra,2019,ACT,IRU,59,<5
4331,University of Divinity,2019,VIC,non-aligned,18,<5
3039,University of New England,2019,NSW,RUN,80,13
3013,University of New South Wales,2019,NSW,Go8,705,127
3014,University of Newcastle,2019,NSW,ATN,242,10
3027,University of South Australia,2019,SA,ATN,120,17
2201,University of Southern Queensland,2019,QLD,RUN,91,13
3045,University of Tasmania,2019,TAS,non-aligned,256,21
3016,University of Technology Sydney,2019,NSW,ATN,292,25
3043,University of the Sunshine Coast,2019,QLD,RUN,77,10
1058,University of Wollongong,2019,NSW,non-aligned,235,38
3007,Victoria University,2019,VIC,non-aligned,96,11
3004,Western Sydney University,2019,NSW,IRU,146,87
3006,Australian Catholic University,2018,OTHER,non-aligned,70,10
2246,Batchelor Institute of Indigenous Tertiary Education,2018,NT,non-aligned,0,<5
3003,Bond University ,2018,QLD,non-aligned,25,<5
2200,Central Queensland University,2018,QLD,RUN,35,13
3001,Charles Darwin University,2018,NT,non-aligned,26,7
3005,Charles Sturt University,2018,NSW,RUN,77,<5
2236,Curtin University,2018,WA,ATN,279,30
3030,Deakin University,2018,VIC,ATN,193,16
2235,Edith Cowan University,2018,WA,non-aligned,78,36
2154,Federation University Australia,2018,VIC,RUN,35,9
3029,Flinders University,2018,SA,IRU,175,8
3032,Griffith University,2018,QLD,IRU,286,44
1019,James Cook University,2018,QLD,IRU,103,5
3020,La Trobe University,2018,VIC,IRU,219,15
3025,Macquarie University,2018,NSW,non-aligned,288,268
3035,Monash University,2018,VIC,Go8,805,77
1034,Murdoch University,2018,WA,IRU,100,15
3042,Queensland University of Technology,2018,QLD,non-aligned,322,115
3034,Royal Melbourne Institute of Technology,2018,VIC,ATN,260,36
3038,Southern Cross University,2018,NSW,RUN,38,8
2177,Swinburne University of Technology,2018,VIC,non-aligned,159,26
3033,The Australian National University,2018,ACT,Go8,361,32
3010,The University of Adelaide,2018,SA,Go8,339,61
3036,The University of Melbourne,2018,VIC,Go8,873,148
3044,The University of Notre Dame Australia,2018,WA,non-aligned,31,29
3019,The University of Queensland,2018,QLD,Go8,579,69
3040,The University of Sydney,2018,NSW,Go8,315,88
1055,The University of Western Australia,2018,WA,Go8,287,51
4449,Torrens University Australia,2018,SA,non-aligned,<5,<5
2241,University of Canberra,2018,ACT,IRU,66,8
4331,University of Divinity,2018,VIC,non-aligned,9,<5
3039,University of New England,2018,NSW,RUN,76,10
3013,University of New South Wales,2018,NSW,Go8,663,97
3014,University of Newcastle,2018,NSW,ATN,253,13
3027,University of South Australia,2018,SA,ATN,144,15
2201,University of Southern Queensland,2018,QLD,RUN,79,5
3045,University of Tasmania,2018,TAS,non-aligned,204,21
3016,University of Technology Sydney,2018,NSW,ATN,251,35
3043,University of the Sunshine Coast,2018,QLD,RUN,57,12
1058,University of Wollongong,2018,NSW,non-aligned,239,52
3007,Victoria University,2018,VIC,non-aligned,91,12
3004,Western Sydney University,2018,NSW,IRU,142,73
3006,Australian Catholic University,2017,OTHER,non-aligned,39,7
2246,Batchelor Institute of Indigenous Tertiary Education,2017,NT,non-aligned,<5,0
3003,Bond University ,2017,QLD,non-aligned,21,9
2200,Central Queensland University,2017,QLD,RUN,47,8
3001,Charles Darwin University,2017,NT,non-aligned,27,8
3005,Charles Sturt University,2017,NSW,RUN,86,6
2236,Curtin University,2017,WA,ATN,302,41
3030,Deakin University,2017,VIC,ATN,214,9
2235,Edith Cowan University,2017,WA,non-aligned,71,33
2154,Federation University Australia,2017,VIC,RUN,31,<5
3029,Flinders University,2017,SA,IRU,119,10
3032,Griffith University,2017,QLD,IRU,310,46
1019,James Cook University,2017,QLD,IRU,130,8
3020,La Trobe University,2017,VIC,IRU,197,24
3025,Macquarie University,2017,NSW,non-aligned,286,290
3035,Monash University,2017,VIC,Go8,779,97
1034,Murdoch University,2017,WA,IRU,98,16
3042,Queensland University of Technology,2017,QLD,non-aligned,330,95
3034,Royal Melbourne Institute of Technology,2017,VIC,ATN,305,37
3038,Southern Cross University,2017,NSW,RUN,48,8
2177,Swinburne University of Technology,2017,VIC,non-aligned,133,9
3033,The Australian National University,2017,ACT,Go8,434,40
3010,The University of Adelaide,2017,SA,Go8,365,50
3036,The University of Melbourne,2017,VIC,Go8,716,109
3044,The University of Notre Dame Australia,2017,WA,non-aligned,23,14
3019,The University of Queensland,2017,QLD,Go8,680,81
3040,The University of Sydney,2017,NSW,Go8,701,190
1055,The University of Western Australia,2017,WA,Go8,298,59
4449,Torrens University Australia,2017,SA,non-aligned,<5,<5
